 Total (p,pp) knockout cross section (mb)                                       
  
      7.462
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.358488E-05     0.642588E-07     0.167053E-06
  -983.357          0.00000         0.362506E-05     0.117685E-06     0.168570E-06
  -980.079          0.00000         0.366547E-05     0.150829E-06     0.169871E-06
  -976.801          0.00000         0.370609E-05     0.179265E-06     0.170940E-06
  -973.524          0.00000         0.374690E-05     0.205484E-06     0.171758E-06
  -970.246          0.00000         0.378785E-05     0.232070E-06     0.172308E-06
  -966.968          0.00000         0.382891E-05     0.256396E-06     0.172570E-06
  -963.690          0.00000         0.387006E-05     0.275811E-06     0.172529E-06
  -960.412          0.00000         0.391125E-05     0.298113E-06     0.172167E-06
  -957.134          0.00000         0.395244E-05     0.317967E-06     0.171467E-06
  -953.856          0.00000         0.399361E-05     0.335550E-06     0.170414E-06
  -950.579          0.00000         0.403471E-05     0.356012E-06     0.168993E-06
  -947.301          0.00000         0.407570E-05     0.371488E-06     0.167191E-06
  -944.023          0.00000         0.411653E-05     0.392367E-06     0.164997E-06
  -940.745          0.00000         0.415718E-05     0.410812E-06     0.162399E-06
  -937.467          0.00000         0.419758E-05     0.426765E-06     0.159391E-06
  -934.189          0.00000         0.423772E-05     0.445705E-06     0.155967E-06
  -930.911          0.00000         0.427753E-05     0.462114E-06     0.152123E-06
  -927.634          0.00000         0.431698E-05     0.476046E-06     0.147860E-06
  -924.356          0.00000         0.435603E-05     0.495306E-06     0.143181E-06
  -921.078          0.00000         0.439464E-05     0.512357E-06     0.138091E-06
  -917.800          0.00000         0.443277E-05     0.526894E-06     0.132604E-06
  -914.522          0.00000         0.447038E-05     0.546776E-06     0.126732E-06
  -911.244          0.00000         0.450745E-05     0.561607E-06     0.120498E-06
  -907.966          0.00000         0.454393E-05     0.579060E-06     0.113925E-06
  -904.689          0.00000         0.457981E-05     0.594137E-06     0.107045E-06
  -901.411          0.00000         0.461505E-05     0.609240E-06     0.998963E-07
  -898.133          0.00000         0.464963E-05     0.624462E-06     0.925216E-07
  -894.855          0.00000         0.468355E-05     0.639915E-06     0.849727E-07
  -891.577          0.00000         0.471679E-05     0.660535E-06     0.773088E-07
  -888.299          0.00000         0.474935E-05     0.676045E-06     0.695976E-07
  -885.021          0.00000         0.478123E-05     0.691811E-06     0.619157E-07
  -881.744          0.00000         0.481244E-05     0.707530E-06     0.543497E-07
  -878.466          0.00000         0.484301E-05     0.723466E-06     0.469963E-07
  -875.188          0.00000         0.487296E-05     0.739254E-06     0.399636E-07
  -871.910          0.00000         0.490234E-05     0.750201E-06     0.333714E-07
  -868.632          0.00000         0.493119E-05     0.766211E-06     0.273522E-07
  -865.354          0.00000         0.495958E-05     0.782414E-06     0.220521E-07
  -862.076          0.00000         0.498759E-05     0.798859E-06     0.176314E-07
  -858.799          0.00000         0.501531E-05     0.815062E-06     0.142656E-07
  -855.521          0.00000         0.504285E-05     0.828913E-06     0.121464E-07
  -852.243          0.00000         0.507032E-05     0.845396E-06     0.114825E-07
  -848.965          0.00000         0.509789E-05     0.861985E-06     0.125006E-07
  -845.687          0.00000         0.512570E-05     0.878750E-06     0.154465E-07
  -842.409          0.00000         0.515394E-05     0.890000E-06     0.205861E-07
  -839.131          0.00000         0.518282E-05     0.907166E-06     0.282064E-07
  -835.854          0.00000         0.521257E-05     0.921544E-06     0.386165E-07
  -832.576          0.00000         0.524344E-05     0.938785E-06     0.521490E-07
  -829.298          0.00000         0.527572E-05     0.950832E-06     0.691611E-07
  -826.020          0.00000         0.530972E-05     0.968386E-06     0.900354E-07
  -822.742          0.00000         0.534577E-05     0.986163E-06     0.115182E-06
  -819.464          0.00000         0.538426E-05     0.100110E-05     0.145038E-06
  -816.186          0.00000         0.542559E-05     0.101960E-05     0.180070E-06
  -812.909          0.00000         0.547021E-05     0.103300E-05     0.220778E-06
  -809.631          0.00000         0.551858E-05     0.104945E-05     0.267690E-06
  -806.353          0.00000         0.557124E-05     0.106862E-05     0.321371E-06
  -803.075          0.00000         0.562875E-05     0.108305E-05     0.382417E-06
  -799.797          0.00000         0.569170E-05     0.110340E-05     0.451465E-06
  -796.519          0.00000         0.576075E-05     0.112123E-05     0.529187E-06
  -793.241          0.00000         0.583660E-05     0.113702E-05     0.616294E-06
  -789.964          0.00000         0.591998E-05     0.115905E-05     0.713540E-06
  -786.686          0.00000         0.601169E-05     0.117933E-05     0.821720E-06
  -783.408          0.00000         0.611257E-05     0.119765E-05     0.941675E-06
  -780.130          0.00000         0.622354E-05     0.122198E-05     0.107429E-05
  -776.852          0.00000         0.634555E-05     0.124468E-05     0.122050E-05
  -773.574          0.00000         0.647961E-05     0.126565E-05     0.138130E-05
  -770.296          0.00000         0.662680E-05     0.129057E-05     0.155771E-05
  -767.019          0.00000         0.678826E-05     0.131987E-05     0.175082E-05
  -763.741          0.00000         0.696519E-05     0.134510E-05     0.196180E-05
  -760.463          0.00000         0.715887E-05     0.137452E-05     0.219184E-05
  -757.185          0.00000         0.737062E-05     0.140304E-05     0.244220E-05
  -753.907          0.00000         0.760185E-05     0.143603E-05     0.271422E-05
  -750.629          0.00000         0.785404E-05     0.147328E-05     0.300929E-05
  -747.351          0.00000         0.812874E-05     0.150795E-05     0.332887E-05
  -744.074          0.00000         0.842757E-05     0.154785E-05     0.367449E-05
  -740.796          0.00000         0.875222E-05     0.158746E-05     0.404775E-05
  -737.518          0.00000         0.910448E-05     0.163290E-05     0.445033E-05
  -734.240          0.00000         0.948618E-05     0.167650E-05     0.488397E-05
  -730.962          0.00000         0.989928E-05     0.172833E-05     0.535050E-05
  -727.684          0.00000         0.103458E-04     0.178617E-05     0.585183E-05
  -724.406          0.00000         0.108277E-04     0.184143E-05     0.638993E-05
  -721.129          0.00000         0.113474E-04     0.190419E-05     0.696689E-05
  -717.851          0.00000         0.119069E-04     0.196863E-05     0.758484E-05
  -714.573          0.00000         0.125087E-04     0.204081E-05     0.824601E-05
  -711.295          0.00000         0.131551E-04     0.211557E-05     0.895273E-05
