 Total (p,pp) knockout cross section (mb)                                       
  
     27.924
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.748836E-05     0.133692E-06     0.713561E-07
  -983.357          0.00000         0.754322E-05     0.244327E-06     0.676878E-07
  -980.079          0.00000         0.759740E-05     0.312355E-06     0.639876E-07
  -976.801          0.00000         0.765093E-05     0.370250E-06     0.603165E-07
  -973.524          0.00000         0.770384E-05     0.423267E-06     0.567439E-07
  -970.246          0.00000         0.775618E-05     0.476796E-06     0.533484E-07
  -966.968          0.00000         0.780800E-05     0.525370E-06     0.502183E-07
  -963.690          0.00000         0.785937E-05     0.563489E-06     0.474520E-07
  -960.412          0.00000         0.791039E-05     0.607417E-06     0.451589E-07
  -957.134          0.00000         0.796116E-05     0.646133E-06     0.434604E-07
  -953.856          0.00000         0.801180E-05     0.679872E-06     0.424898E-07
  -950.579          0.00000         0.806245E-05     0.719417E-06     0.423940E-07
  -947.301          0.00000         0.811329E-05     0.748419E-06     0.433336E-07
  -944.023          0.00000         0.816449E-05     0.788571E-06     0.454843E-07
  -940.745          0.00000         0.821627E-05     0.823567E-06     0.490377E-07
  -937.467          0.00000         0.826886E-05     0.853339E-06     0.542020E-07
  -934.189          0.00000         0.832253E-05     0.889110E-06     0.612036E-07
  -930.911          0.00000         0.837756E-05     0.919649E-06     0.702879E-07
  -927.634          0.00000         0.843429E-05     0.945049E-06     0.817206E-07
  -924.356          0.00000         0.849306E-05     0.981606E-06     0.957893E-07
  -921.078          0.00000         0.855426E-05     0.101342E-05     0.112805E-06
  -917.800          0.00000         0.861832E-05     0.104014E-05     0.133102E-06
  -914.522          0.00000         0.868570E-05     0.107813E-05     0.157043E-06
  -911.244          0.00000         0.875690E-05     0.110576E-05     0.185017E-06
  -907.966          0.00000         0.883246E-05     0.113918E-05     0.217444E-06
  -904.689          0.00000         0.891297E-05     0.116785E-05     0.254775E-06
  -901.411          0.00000         0.899906E-05     0.119697E-05     0.297496E-06
  -898.133          0.00000         0.909140E-05     0.122672E-05     0.346129E-06
  -894.855          0.00000         0.919074E-05     0.125734E-05     0.401234E-06
  -891.577          0.00000         0.929784E-05     0.129937E-05     0.463412E-06
  -888.299          0.00000         0.941354E-05     0.133144E-05     0.533308E-06
  -885.021          0.00000         0.953873E-05     0.136463E-05     0.611614E-06
  -881.744          0.00000         0.967435E-05     0.139856E-05     0.699069E-06
  -878.466          0.00000         0.982142E-05     0.143378E-05     0.796468E-06
  -875.188          0.00000         0.998101E-05     0.146987E-05     0.904657E-06
  -871.910          0.00000         0.101542E-04     0.149682E-05     0.102454E-05
  -868.632          0.00000         0.103423E-04     0.153570E-05     0.115710E-05
  -865.354          0.00000         0.105465E-04     0.157618E-05     0.130335E-05
  -862.076          0.00000         0.107682E-04     0.161869E-05     0.146442E-05
  -858.799          0.00000         0.110088E-04     0.166216E-05     0.164146E-05
  -855.521          0.00000         0.112697E-04     0.170278E-05     0.183575E-05
  -852.243          0.00000         0.115525E-04     0.175029E-05     0.204862E-05
  -848.965          0.00000         0.118589E-04     0.180043E-05     0.228150E-05
  -845.687          0.00000         0.121906E-04     0.185327E-05     0.253590E-05
  -842.409          0.00000         0.125494E-04     0.189704E-05     0.281344E-05
  -839.131          0.00000         0.129372E-04     0.195577E-05     0.311584E-05
  -835.854          0.00000         0.133560E-04     0.201052E-05     0.344494E-05
  -832.576          0.00000         0.138079E-04     0.207520E-05     0.380267E-05
  -829.298          0.00000         0.142949E-04     0.213143E-05     0.419110E-05
  -826.020          0.00000         0.148194E-04     0.220282E-05     0.461242E-05
  -822.742          0.00000         0.153837E-04     0.227875E-05     0.506898E-05
  -819.464          0.00000         0.159902E-04     0.235262E-05     0.556323E-05
  -816.186          0.00000         0.166415E-04     0.243809E-05     0.609782E-05
  -812.909          0.00000         0.173402E-04     0.251724E-05     0.667552E-05
  -809.631          0.00000         0.180890E-04     0.260763E-05     0.729930E-05
  -806.353          0.00000         0.188908E-04     0.270887E-05     0.797227E-05
  -803.075          0.00000         0.197484E-04     0.280480E-05     0.869777E-05
  -799.797          0.00000         0.206650E-04     0.291916E-05     0.947929E-05
  -796.519          0.00000         0.216437E-04     0.303155E-05     0.103206E-04
  -793.241          0.00000         0.226877E-04     0.314706E-05     0.112255E-04
  -789.964          0.00000         0.238003E-04     0.328289E-05     0.121983E-04
  -786.686          0.00000         0.249851E-04     0.342283E-05     0.132432E-04
  -783.408          0.00000         0.262456E-04     0.356581E-05     0.143650E-04
  -780.130          0.00000         0.275855E-04     0.372624E-05     0.155684E-04
  -776.852          0.00000         0.290086E-04     0.389137E-05     0.168586E-04
  -773.574          0.00000         0.305188E-04     0.405835E-05     0.182409E-04
  -770.296          0.00000         0.321201E-04     0.424720E-05     0.197209E-04
  -767.019          0.00000         0.338167E-04     0.445375E-05     0.213046E-04
  -763.741          0.00000         0.356127E-04     0.465970E-05     0.229982E-04
  -760.463          0.00000         0.375126E-04     0.488368E-05     0.248079E-04
  -757.185          0.00000         0.395208E-04     0.511599E-05     0.267407E-04
  -753.907          0.00000         0.416417E-04     0.536696E-05     0.288034E-04
  -750.629          0.00000         0.438802E-04     0.563572E-05     0.310033E-04
  -747.351          0.00000         0.462410E-04     0.591287E-05     0.333480E-04
  -744.074          0.00000         0.487289E-04     0.621445E-05     0.358453E-04
  -740.796          0.00000         0.513488E-04     0.652470E-05     0.385032E-04
  -737.518          0.00000         0.541059E-04     0.686321E-05     0.413302E-04
  -734.240          0.00000         0.570053E-04     0.719405E-05     0.443348E-04
  -730.962          0.00000         0.600522E-04     0.757297E-05     0.475260E-04
  -727.684          0.00000         0.632518E-04     0.797641E-05     0.509129E-04
  -724.406          0.00000         0.666095E-04     0.837983E-05     0.545050E-04
  -721.129          0.00000         0.701307E-04     0.881867E-05     0.583118E-04
  -717.851          0.00000         0.738209E-04     0.927542E-05     0.623435E-04
  -714.573          0.00000         0.776857E-04     0.976680E-05     0.666102E-04
  -711.295          0.00000         0.817305E-04     0.102803E-04     0.711225E-04
  -708.017          0.00000         0.859610E-04     0.108274E-04     0.758913E-04
  -704.739          0.00000         0.903828E-04     0.113920E-04     0.809276E-04
  -701.461          0.00000         0.950016E-04     0.119910E-04     0.862432E-04
  -698.184          0.00000         0.998231E-04     0.126165E-04     0.918498E-04
  -694.906          0.00000         0.104853E-03     0.132580E-04     0.977599E-04
  -691.628          0.00000         0.110097E-03     0.139680E-04     0.103986E-03
  -688.350          0.00000         0.115561E-03     0.147033E-04     0.110543E-03
  -685.072          0.00000         0.121251E-03     0.154649E-04     0.117443E-03
  -681.794          0.00000         0.127172E-03     0.162834E-04     0.124702E-03
  -678.516          0.00000         0.133331E-03     0.171023E-04     0.132335E-03
  -675.239          0.00000         0.139734E-03     0.179867E-04     0.140359E-03
  -671.961          0.00000         0.146387E-03     0.188898E-04     0.148792E-03
  -668.683          0.00000         0.153295E-03     0.198542E-04     0.157653E-03
  -665.405          0.00000         0.160467E-03     0.208550E-04     0.166962E-03
  -662.127          0.00000         0.167908E-03     0.218989E-04     0.176741E-03
  -658.849          0.00000         0.175625E-03     0.230049E-04     0.187014E-03
  -655.571          0.00000         0.183626E-03     0.241647E-04     0.197808E-03
  -652.294          0.00000         0.191919E-03     0.254003E-04     0.209150E-03
  -649.016          0.00000         0.200511E-03     0.266559E-04     0.221072E-03
  -645.738          0.00000         0.209413E-03     0.279546E-04     0.233608E-03
  -642.460          0.00000         0.218634E-03     0.293375E-04     0.246795E-03
  -639.182          0.00000         0.228184E-03     0.307367E-04     0.260674E-03
  -635.904          0.00000         0.238075E-03     0.322459E-04     0.275291E-03
  -632.626          0.00000         0.248319E-03     0.337837E-04     0.290695E-03
  -629.349          0.00000         0.258932E-03     0.354392E-04     0.306941E-03
  -626.071          0.00000         0.269928E-03     0.371055E-04     0.324088E-03
  -622.793          0.00000         0.281326E-03     0.388163E-04     0.342204E-03
  -619.515          0.00000         0.293144E-03     0.406099E-04     0.361360E-03
  -616.237          0.00000         0.305404E-03     0.425431E-04     0.381635E-03
  -612.959          0.00000         0.318132E-03     0.445794E-04     0.403118E-03
  -609.681         0.846575E-03     0.331353E-03     0.466548E-04     0.425903E-03
  -606.404         0.858817E-03     0.345100E-03     0.488438E-04     0.450093E-03
  -603.126         0.865040E-03     0.359404E-03     0.510992E-04     0.475802E-03
  -599.848         0.877697E-03     0.374305E-03     0.533758E-04     0.503153E-03
  -596.570         0.890641E-03     0.389845E-03     0.558765E-04     0.532278E-03
  -593.292         0.897224E-03     0.406071E-03     0.584505E-04     0.563323E-03
  -590.014         0.910616E-03     0.423034E-03     0.611593E-04     0.596443E-03
  -586.736         0.917428E-03     0.440793E-03     0.639883E-04     0.631807E-03
  -583.459         0.931290E-03     0.459413E-03     0.668890E-04     0.669595E-03
  -580.181         0.945477E-03     0.478963E-03     0.699950E-04     0.710000E-03
  -576.903         0.952695E-03     0.499521E-03     0.731797E-04     0.753231E-03
  -573.625         0.967390E-03     0.521174E-03     0.764899E-04     0.799510E-03
  -570.347         0.974869E-03     0.544015E-03     0.800856E-04     0.849071E-03
  -567.069         0.990096E-03     0.568148E-03     0.837427E-04     0.902165E-03
  -563.791         0.100569E-02     0.593685E-03     0.876398E-04     0.959058E-03
  -560.514         0.101363E-02     0.620749E-03     0.917642E-04     0.102003E-02
  -557.236         0.102981E-02     0.649472E-03     0.962147E-04     0.108538E-02
  -553.958         0.104639E-02     0.679999E-03     0.100844E-03     0.115541E-02
  -550.680         0.105483E-02     0.712487E-03     0.105610E-03     0.123045E-02
  -547.402         0.107203E-02     0.747105E-03     0.110764E-03     0.131084E-02
  -544.124         0.108080E-02     0.784034E-03     0.116066E-03     0.139693E-02
  -540.846         0.109866E-02     0.823469E-03     0.121871E-03     0.148910E-02
  -537.569         0.111699E-02     0.865620E-03     0.127989E-03     0.158772E-02
  -534.291         0.112633E-02     0.910711E-03     0.134535E-03     0.169318E-02
  -531.013         0.114537E-02     0.958981E-03     0.141450E-03     0.180590E-02
  -527.735         0.115508E-02     0.101068E-02     0.148791E-03     0.192629E-02
  -524.457         0.117489E-02     0.106609E-02     0.156338E-03     0.205478E-02
  -521.179         0.119522E-02     0.112548E-02     0.164695E-03     0.219180E-02
  -517.901         0.120559E-02     0.118916E-02     0.173678E-03     0.233780E-02
  -514.624         0.122675E-02     0.125746E-02     0.183107E-03     0.249324E-02
  -511.346         0.124850E-02     0.133069E-02     0.193265E-03     0.265856E-02
  -508.068         0.125959E-02     0.140923E-02     0.204151E-03     0.283423E-02
  -504.790         0.128224E-02     0.149343E-02     0.215573E-03     0.302072E-02
  -501.512         0.129381E-02     0.158367E-02     0.227830E-03     0.321850E-02
  -498.234         0.131742E-02     0.168037E-02     0.241258E-03     0.342804E-02
  -494.956         0.134171E-02     0.178394E-02     0.255854E-03     0.364980E-02
