 Total (p,pp) knockout cross section (mb)                                       
  
     15.779
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.669554E-05     0.120096E-06     0.321334E-06
  -983.357          0.00000         0.677444E-05     0.220016E-06     0.326182E-06
  -980.079          0.00000         0.685398E-05     0.282084E-06     0.330683E-06
  -976.801          0.00000         0.693411E-05     0.335400E-06     0.334801E-06
  -973.524          0.00000         0.701475E-05     0.384611E-06     0.338497E-06
  -970.246          0.00000         0.709586E-05     0.434543E-06     0.341732E-06
  -966.968          0.00000         0.717736E-05     0.480291E-06     0.344467E-06
  -963.690          0.00000         0.725918E-05     0.516895E-06     0.346663E-06
  -960.412          0.00000         0.734125E-05     0.558925E-06     0.348280E-06
  -957.134          0.00000         0.742348E-05     0.596404E-06     0.349279E-06
  -953.856          0.00000         0.750579E-05     0.629681E-06     0.349621E-06
  -950.579          0.00000         0.758809E-05     0.668369E-06     0.349269E-06
  -947.301          0.00000         0.767029E-05     0.697772E-06     0.348185E-06
  -944.023          0.00000         0.775229E-05     0.737297E-06     0.346337E-06
  -940.745          0.00000         0.783399E-05     0.772297E-06     0.343690E-06
  -937.467          0.00000         0.791530E-05     0.802659E-06     0.340215E-06
  -934.189          0.00000         0.799610E-05     0.838649E-06     0.335885E-06
  -930.911          0.00000         0.807629E-05     0.869924E-06     0.330677E-06
  -927.634          0.00000         0.815577E-05     0.896588E-06     0.324570E-06
  -924.356          0.00000         0.823442E-05     0.933219E-06     0.317551E-06
  -921.078          0.00000         0.831213E-05     0.965773E-06     0.309610E-06
  -917.800          0.00000         0.838880E-05     0.993636E-06     0.300744E-06
  -914.522          0.00000         0.846431E-05     0.103150E-05     0.290957E-06
  -911.244          0.00000         0.853856E-05     0.105994E-05     0.280259E-06
  -907.966          0.00000         0.861144E-05     0.109327E-05     0.268670E-06
  -904.689          0.00000         0.868285E-05     0.112217E-05     0.256220E-06
  -901.411          0.00000         0.875269E-05     0.115111E-05     0.242946E-06
  -898.133          0.00000         0.882088E-05     0.118028E-05     0.228899E-06
  -894.855          0.00000         0.888731E-05     0.120987E-05     0.214141E-06
  -891.577          0.00000         0.895193E-05     0.124909E-05     0.198749E-06
  -888.299          0.00000         0.901465E-05     0.127873E-05     0.182813E-06
  -885.021          0.00000         0.907542E-05     0.130886E-05     0.166438E-06
  -881.744          0.00000         0.913419E-05     0.133884E-05     0.149748E-06
  -878.466          0.00000         0.919093E-05     0.136920E-05     0.132886E-06
  -875.188          0.00000         0.924562E-05     0.139921E-05     0.116013E-06
  -871.910          0.00000         0.929826E-05     0.142016E-05     0.993136E-07
  -868.632          0.00000         0.934887E-05     0.145047E-05     0.829943E-07
  -865.354          0.00000         0.939749E-05     0.148109E-05     0.672873E-07
  -862.076          0.00000         0.944417E-05     0.151210E-05     0.524517E-07
  -858.799          0.00000         0.948902E-05     0.154254E-05     0.387751E-07
  -855.521          0.00000         0.953215E-05     0.156848E-05     0.265759E-07
  -852.243          0.00000         0.957370E-05     0.159926E-05     0.162050E-07
  -848.965          0.00000         0.961385E-05     0.163009E-05     0.804813E-08
  -845.687          0.00000         0.965283E-05     0.166112E-05     0.252804E-08
  -842.409          0.00000         0.969088E-05     0.168167E-05     0.106476E-09
  -839.131          0.00000         0.972832E-05     0.171317E-05     0.128661E-08
  -835.854          0.00000         0.976548E-05     0.173931E-05     0.661532E-08
  -832.576          0.00000         0.980276E-05     0.177058E-05     0.166856E-07
  -829.298          0.00000         0.984060E-05     0.179197E-05     0.321389E-07
  -826.020          0.00000         0.987950E-05     0.182345E-05     0.536678E-07
  -822.742          0.00000         0.992003E-05     0.185511E-05     0.820182E-07
  -819.464          0.00000         0.996282E-05     0.188117E-05     0.117992E-06
  -816.186          0.00000         0.100085E-04     0.191371E-05     0.162451E-06
  -812.909          0.00000         0.100580E-04     0.193645E-05     0.216316E-06
  -809.631          0.00000         0.101120E-04     0.196460E-05     0.280575E-06
  -806.353          0.00000         0.101714E-04     0.199750E-05     0.356280E-06
  -803.075          0.00000         0.102374E-04     0.202128E-05     0.444555E-06
  -799.797          0.00000         0.103109E-04     0.205580E-05     0.546597E-06
  -796.519          0.00000         0.103931E-04     0.208538E-05     0.663678E-06
  -793.241          0.00000         0.104854E-04     0.211071E-05     0.797150E-06
  -789.964          0.00000         0.105891E-04     0.214736E-05     0.948448E-06
  -786.686          0.00000         0.107057E-04     0.218029E-05     0.111909E-05
  -783.408          0.00000         0.108368E-04     0.220916E-05     0.131070E-05
  -780.130          0.00000         0.109841E-04     0.224903E-05     0.152496E-05
  -776.852          0.00000         0.111495E-04     0.228543E-05     0.176370E-05
  -773.574          0.00000         0.113348E-04     0.231831E-05     0.202881E-05
  -770.296          0.00000         0.115423E-04     0.235786E-05     0.232231E-05
  -767.019          0.00000         0.117742E-04     0.240522E-05     0.264634E-05
  -763.741          0.00000         0.120327E-04     0.244462E-05     0.300312E-05
  -760.463          0.00000         0.123204E-04     0.249145E-05     0.339504E-05
  -757.185          0.00000         0.126400E-04     0.253612E-05     0.382459E-05
  -753.907          0.00000         0.129943E-04     0.258880E-05     0.429441E-05
  -750.629          0.00000         0.133862E-04     0.264908E-05     0.480727E-05
  -747.351          0.00000         0.138188E-04     0.270398E-05     0.536611E-05
  -744.074          0.00000         0.142956E-04     0.276814E-05     0.597399E-05
  -740.796          0.00000         0.148198E-04     0.283151E-05     0.663418E-05
  -737.518          0.00000         0.153953E-04     0.290521E-05     0.735007E-05
  -734.240          0.00000         0.160257E-04     0.297587E-05     0.812527E-05
  -730.962          0.00000         0.167152E-04     0.306071E-05     0.896354E-05
  -727.684          0.00000         0.174678E-04     0.315656E-05     0.986887E-05
  -724.406          0.00000         0.182881E-04     0.324771E-05     0.108454E-04
  -721.129          0.00000         0.191806E-04     0.335235E-05     0.118975E-04
