 Total (p,pp) knockout cross section (mb)                                       
  
      9.493
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.107833E-04     0.195078E-06     0.273205E-05
  -983.357          0.00000         0.108547E-04     0.356373E-06     0.271767E-05
  -980.079          0.00000         0.109223E-04     0.455345E-06     0.270074E-05
  -976.801          0.00000         0.109859E-04     0.539357E-06     0.268130E-05
  -973.524          0.00000         0.110453E-04     0.616060E-06     0.265940E-05
  -970.246          0.00000         0.111002E-04     0.693290E-06     0.263511E-05
  -966.968          0.00000         0.111505E-04     0.763036E-06     0.260852E-05
  -963.690          0.00000         0.111959E-04     0.817239E-06     0.257975E-05
  -960.412          0.00000         0.112362E-04     0.879606E-06     0.254895E-05
  -957.134          0.00000         0.112713E-04     0.934049E-06     0.251629E-05
  -953.856          0.00000         0.113010E-04     0.980814E-06     0.248198E-05
  -950.579          0.00000         0.113252E-04     0.103562E-05     0.244625E-05
  -947.301          0.00000         0.113437E-04     0.107457E-05     0.240938E-05
  -944.023          0.00000         0.113565E-04     0.112932E-05     0.237166E-05
  -940.745          0.00000         0.113634E-04     0.117607E-05     0.233346E-05
  -937.467          0.00000         0.113645E-04     0.121459E-05     0.229515E-05
  -934.189          0.00000         0.113596E-04     0.126111E-05     0.225716E-05
  -930.911          0.00000         0.113489E-04     0.129934E-05     0.221997E-05
  -927.634          0.00000         0.113325E-04     0.132939E-05     0.218409E-05
  -924.356          0.00000         0.113103E-04     0.137499E-05     0.215010E-05
  -921.078          0.00000         0.112826E-04     0.141261E-05     0.211862E-05
  -917.800          0.00000         0.112495E-04     0.144190E-05     0.209031E-05
  -914.522          0.00000         0.112113E-04     0.148674E-05     0.206592E-05
  -911.244          0.00000         0.111683E-04     0.151532E-05     0.204623E-05
  -907.966          0.00000         0.111209E-04     0.155138E-05     0.203208E-05
  -904.689          0.00000         0.110695E-04     0.157921E-05     0.202439E-05
  -901.411          0.00000         0.110146E-04     0.160682E-05     0.202414E-05
  -898.133          0.00000         0.109568E-04     0.163390E-05     0.203236E-05
  -894.855          0.00000         0.108966E-04     0.166082E-05     0.205016E-05
  -891.577          0.00000         0.108349E-04     0.170324E-05     0.207873E-05
  -888.299          0.00000         0.107724E-04     0.172933E-05     0.211933E-05
  -885.021          0.00000         0.107101E-04     0.175521E-05     0.217329E-05
  -881.744          0.00000         0.106490E-04     0.178101E-05     0.224200E-05
  -878.466          0.00000         0.105900E-04     0.180661E-05     0.232697E-05
  -875.188          0.00000         0.105346E-04     0.183207E-05     0.242976E-05
  -871.910          0.00000         0.104838E-04     0.184162E-05     0.255201E-05
  -868.632          0.00000         0.104393E-04     0.186724E-05     0.269547E-05
  -865.354          0.00000         0.104025E-04     0.189296E-05     0.286195E-05
  -862.076          0.00000         0.103750E-04     0.191897E-05     0.305335E-05
  -858.799          0.00000         0.103588E-04     0.194557E-05     0.327168E-05
  -855.521          0.00000         0.103556E-04     0.196443E-05     0.351900E-05
  -852.243          0.00000         0.103676E-04     0.199232E-05     0.379748E-05
  -848.965          0.00000         0.103970E-04     0.202108E-05     0.410940E-05
  -845.687          0.00000         0.104462E-04     0.205079E-05     0.445708E-05
  -842.409          0.00000         0.105175E-04     0.206532E-05     0.484296E-05
  -839.131          0.00000         0.106137E-04     0.209785E-05     0.526957E-05
  -835.854          0.00000         0.107376E-04     0.212416E-05     0.573952E-05
  -832.576          0.00000         0.108921E-04     0.216043E-05     0.625550E-05
  -829.298          0.00000         0.110804E-04     0.218324E-05     0.682030E-05
  -826.020          0.00000         0.113058E-04     0.222429E-05     0.743678E-05
  -822.742          0.00000         0.115717E-04     0.226844E-05     0.810788E-05
  -819.464          0.00000         0.118817E-04     0.230766E-05     0.883662E-05
  -816.186          0.00000         0.122397E-04     0.235907E-05     0.962611E-05
  -812.909          0.00000         0.126495E-04     0.239871E-05     0.104795E-04
  -809.631          0.00000         0.131154E-04     0.245094E-05     0.114001E-04
  -806.353          0.00000         0.136417E-04     0.251611E-05     0.123910E-04
  -803.075          0.00000         0.142328E-04     0.257101E-05     0.134558E-04
  -799.797          0.00000         0.148934E-04     0.264761E-05     0.145978E-04
  -796.519          0.00000         0.156283E-04     0.272204E-05     0.158204E-04
  -793.241          0.00000         0.164424E-04     0.279662E-05     0.171272E-04
  -789.964          0.00000         0.173409E-04     0.289485E-05     0.185216E-04
  -786.686          0.00000         0.183291E-04     0.299466E-05     0.200071E-04
  -783.408          0.00000         0.194125E-04     0.309608E-05     0.215873E-04
  -780.130          0.00000         0.205965E-04     0.322144E-05     0.232657E-04
  -776.852          0.00000         0.218870E-04     0.334939E-05     0.250459E-04
  -773.574          0.00000         0.232897E-04     0.347974E-05     0.269312E-04
  -770.296          0.00000         0.248107E-04     0.363454E-05     0.289251E-04
  -767.019          0.00000         0.264559E-04     0.380931E-05     0.310311E-04
  -763.741          0.00000         0.282316E-04     0.398152E-05     0.332522E-04
  -760.463          0.00000         0.301439E-04     0.417533E-05     0.355919E-04
  -757.185          0.00000         0.321992E-04     0.437956E-05     0.380531E-04
  -753.907          0.00000         0.344039E-04     0.460692E-05     0.406387E-04
  -750.629          0.00000         0.367642E-04     0.485693E-05     0.433517E-04
  -747.351          0.00000         0.392866E-04     0.511403E-05     0.461945E-04
  -744.074          0.00000         0.419776E-04     0.540266E-05     0.491696E-04
  -740.796          0.00000         0.448433E-04     0.569906E-05     0.522792E-04
  -737.518          0.00000         0.478902E-04     0.603107E-05     0.555253E-04
  -734.240          0.00000         0.511244E-04     0.635729E-05     0.589095E-04
  -730.962          0.00000         0.545521E-04     0.673894E-05     0.624333E-04
  -727.684          0.00000         0.581792E-04     0.715218E-05     0.660978E-04
  -724.406          0.00000         0.620116E-04     0.756679E-05     0.699038E-04
  -721.129          0.00000         0.660548E-04     0.802675E-05     0.738518E-04
  -717.851          0.00000         0.703144E-04     0.850505E-05     0.779420E-04
  -714.573          0.00000         0.747955E-04     0.902639E-05     0.821740E-04
  -711.295          0.00000         0.795028E-04     0.957531E-05     0.865472E-04
  -708.017          0.00000         0.844411E-04     0.101661E-04     0.910608E-04
  -704.739          0.00000         0.896144E-04     0.107780E-04     0.957134E-04
  -701.461          0.00000         0.950267E-04     0.114338E-04     0.100503E-03
  -698.184          0.00000         0.100681E-03     0.121236E-04     0.105428E-03
