 Total (p,pp) knockout cross section (mb)                                       
  
     28.444
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.736923E-05     0.131614E-06     0.726452E-07
  -983.357          0.00000         0.742457E-05     0.240552E-06     0.695399E-07
  -980.079          0.00000         0.747922E-05     0.307564E-06     0.663482E-07
  -976.801          0.00000         0.753318E-05     0.364614E-06     0.631178E-07
  -973.524          0.00000         0.758649E-05     0.416870E-06     0.599043E-07
  -970.246          0.00000         0.763916E-05     0.469637E-06     0.567723E-07
  -966.968          0.00000         0.769125E-05     0.517532E-06     0.537958E-07
  -963.690          0.00000         0.774279E-05     0.555138E-06     0.510589E-07
  -960.412          0.00000         0.779388E-05     0.598465E-06     0.486569E-07
  -957.134          0.00000         0.784458E-05     0.636658E-06     0.466968E-07
  -953.856          0.00000         0.789501E-05     0.669951E-06     0.452982E-07
  -950.579          0.00000         0.794529E-05     0.708959E-06     0.445941E-07
  -947.301          0.00000         0.799555E-05     0.737581E-06     0.447321E-07
  -944.023          0.00000         0.804597E-05     0.777173E-06     0.458746E-07
  -940.745          0.00000         0.809672E-05     0.811680E-06     0.482007E-07
  -937.467          0.00000         0.814802E-05     0.841029E-06     0.519067E-07
  -934.189          0.00000         0.820010E-05     0.876275E-06     0.572069E-07
  -930.911          0.00000         0.825324E-05     0.906350E-06     0.643355E-07
  -927.634          0.00000         0.830771E-05     0.931350E-06     0.735471E-07
  -924.356          0.00000         0.836386E-05     0.967310E-06     0.851182E-07
  -921.078          0.00000         0.842203E-05     0.998584E-06     0.993485E-07
  -917.800          0.00000         0.848262E-05     0.102481E-05     0.116562E-06
  -914.522          0.00000         0.854606E-05     0.106210E-05     0.137110E-06
  -911.244          0.00000         0.861282E-05     0.108917E-05     0.161370E-06
  -907.966          0.00000         0.868340E-05     0.112189E-05     0.189748E-06
  -904.689          0.00000         0.875835E-05     0.114990E-05     0.222684E-06
  -901.411          0.00000         0.883828E-05     0.117832E-05     0.260647E-06
  -898.133          0.00000         0.892381E-05     0.120730E-05     0.304143E-06
