 Total (p,pp) knockout cross section (mb)                                       
  
     30.031
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.703860E-05     0.125849E-06     0.820543E-07
  -983.357          0.00000         0.709400E-05     0.230062E-06     0.794499E-07
  -980.079          0.00000         0.714866E-05     0.294217E-06     0.766507E-07
  -976.801          0.00000         0.720258E-05     0.348870E-06     0.736921E-07
  -973.524          0.00000         0.725576E-05     0.398954E-06     0.706171E-07
  -970.246          0.00000         0.730819E-05     0.449540E-06     0.674767E-07
  -966.968          0.00000         0.735990E-05     0.495477E-06     0.643309E-07
  -963.690          0.00000         0.741091E-05     0.531583E-06     0.612491E-07
  -960.412          0.00000         0.746125E-05     0.573160E-06     0.583106E-07
  -957.134          0.00000         0.751098E-05     0.609820E-06     0.556051E-07
  -953.856          0.00000         0.756017E-05     0.641799E-06     0.532335E-07
  -950.579          0.00000         0.760889E-05     0.679235E-06     0.513086E-07
  -947.301          0.00000         0.765725E-05     0.706732E-06     0.499552E-07
  -944.023          0.00000         0.770535E-05     0.744700E-06     0.493112E-07
  -940.745          0.00000         0.775335E-05     0.777791E-06     0.495280E-07
  -937.467          0.00000         0.780140E-05     0.805921E-06     0.507716E-07
  -934.189          0.00000         0.784967E-05     0.839672E-06     0.532224E-07
  -930.911          0.00000         0.789837E-05     0.868443E-06     0.570772E-07
  -927.634          0.00000         0.794774E-05     0.892324E-06     0.625491E-07
  -924.356          0.00000         0.799802E-05     0.926642E-06     0.698687E-07
  -921.078          0.00000         0.804950E-05     0.956442E-06     0.792853E-07
  -917.800          0.00000         0.810250E-05     0.981358E-06     0.910678E-07
  -914.522          0.00000         0.815736E-05     0.101680E-05     0.105506E-06
  -911.244          0.00000         0.821446E-05     0.104239E-05     0.122911E-06
  -907.966          0.00000         0.827422E-05     0.107332E-05     0.143620E-06
  -904.689          0.00000         0.833708E-05     0.109966E-05     0.167992E-06
  -901.411          0.00000         0.840355E-05     0.112631E-05     0.196414E-06
  -898.133          0.00000         0.847415E-05     0.115341E-05     0.229303E-06
  -894.855          0.00000         0.854945E-05     0.118118E-05     0.267104E-06
  -891.577          0.00000         0.863008E-05     0.121952E-05     0.310296E-06
  -888.299          0.00000         0.871671E-05     0.124828E-05     0.359394E-06
  -885.021          0.00000         0.881004E-05     0.127790E-05     0.414948E-06
  -881.744          0.00000         0.891084E-05     0.130804E-05     0.477548E-06
  -878.466          0.00000         0.901994E-05     0.133915E-05     0.547827E-06
  -875.188          0.00000         0.913822E-05     0.137083E-05     0.626464E-06
  -871.910          0.00000         0.926660E-05     0.139363E-05     0.714185E-06
