 Total (p,pp) knockout cross section (mb)                                       
  
     34.991
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.617002E-05     0.110708E-06     0.846612E-07
  -983.357          0.00000         0.622523E-05     0.202502E-06     0.838260E-07
  -980.079          0.00000         0.627992E-05     0.259150E-06     0.827496E-07
  -976.801          0.00000         0.633405E-05     0.307511E-06     0.814415E-07
  -973.524          0.00000         0.638757E-05     0.351908E-06     0.799166E-07
  -970.246          0.00000         0.644044E-05     0.396794E-06     0.781951E-07
  -966.968          0.00000         0.649264E-05     0.437639E-06     0.763035E-07
  -963.690          0.00000         0.654413E-05     0.469877E-06     0.742745E-07
  -960.412          0.00000         0.659489E-05     0.506958E-06     0.721475E-07
  -957.134          0.00000         0.664490E-05     0.539725E-06     0.699688E-07
  -953.856          0.00000         0.669417E-05     0.568413E-06     0.677920E-07
  -950.579          0.00000         0.674270E-05     0.601922E-06     0.656781E-07
  -947.301          0.00000         0.679050E-05     0.626703E-06     0.636957E-07
  -944.023          0.00000         0.683760E-05     0.660695E-06     0.619211E-07
  -940.745          0.00000         0.688404E-05     0.690392E-06     0.604389E-07
  -937.467          0.00000         0.692987E-05     0.715704E-06     0.593418E-07
  -934.189          0.00000         0.697516E-05     0.745974E-06     0.587312E-07
  -930.911          0.00000         0.701999E-05     0.771823E-06     0.587172E-07
  -927.634          0.00000         0.706446E-05     0.793336E-06     0.594194E-07
  -924.356          0.00000         0.710868E-05     0.823977E-06     0.609673E-07
  -921.078          0.00000         0.715279E-05     0.850630E-06     0.635007E-07
  -917.800          0.00000         0.719694E-05     0.872914E-06     0.671708E-07
  -914.522          0.00000         0.724130E-05     0.904383E-06     0.721410E-07
  -911.244          0.00000         0.728608E-05     0.927099E-06     0.785881E-07
  -907.966          0.00000         0.733149E-05     0.954392E-06     0.867035E-07
  -904.689          0.00000         0.737778E-05     0.977551E-06     0.966948E-07
  -901.411          0.00000         0.742521E-05     0.100085E-05     0.108787E-06
  -898.133          0.00000         0.747410E-05     0.102440E-05     0.123226E-06
  -894.855          0.00000         0.752476E-05     0.104839E-05     0.140276E-06
  -891.577          0.00000         0.757756E-05     0.108149E-05     0.160230E-06
  -888.299          0.00000         0.763289E-05     0.110593E-05     0.183402E-06
  -885.021          0.00000         0.769119E-05     0.113092E-05     0.210138E-06
  -881.744          0.00000         0.775292E-05     0.115613E-05     0.240813E-06
  -878.466          0.00000         0.781859E-05     0.118193E-05     0.275837E-06
  -875.188          0.00000         0.788875E-05     0.120791E-05     0.315656E-06
  -871.910          0.00000         0.796400E-05     0.122577E-05     0.360755E-06
  -868.632          0.00000         0.804499E-05     0.125292E-05     0.411660E-06
  -865.354          0.00000         0.813241E-05     0.128079E-05     0.468943E-06
  -862.076          0.00000         0.822701E-05     0.130958E-05     0.533223E-06
  -858.799          0.00000         0.832960E-05     0.133863E-05     0.605167E-06
  -855.521          0.00000         0.844102E-05     0.136430E-05     0.685496E-06
  -852.243          0.00000         0.856222E-05     0.139515E-05     0.774986E-06
  -848.965          0.00000         0.869418E-05     0.142713E-05     0.874467E-06
  -845.687          0.00000         0.883796E-05     0.146031E-05     0.984832E-06
  -842.409          0.00000         0.899467E-05     0.148503E-05     0.110703E-05
  -839.131          0.00000         0.916552E-05     0.152097E-05     0.124208E-05
  -835.854          0.00000         0.935177E-05     0.155302E-05     0.139107E-05
  -832.576          0.00000         0.955478E-05     0.159163E-05     0.155514E-05
  -829.298          0.00000         0.977597E-05     0.162245E-05     0.173551E-05
  -826.020          0.00000         0.100168E-04     0.166432E-05     0.193349E-05
  -822.742          0.00000         0.102790E-04     0.170839E-05     0.215045E-05
  -819.464          0.00000         0.105641E-04     0.174943E-05     0.238784E-05
  -816.186          0.00000         0.108739E-04     0.179840E-05     0.264720E-05
  -812.909          0.00000         0.112103E-04     0.184065E-05     0.293018E-05
  -809.631          0.00000         0.115752E-04     0.189042E-05     0.323850E-05
  -806.353          0.00000         0.119707E-04     0.194742E-05     0.357400E-05
  -803.075          0.00000         0.123988E-04     0.199852E-05     0.393865E-05
  -799.797          0.00000         0.128619E-04     0.206263E-05     0.433451E-05
  -796.519          0.00000         0.133621E-04     0.212436E-05     0.476379E-05
  -793.241          0.00000         0.139021E-04     0.218619E-05     0.522885E-05
  -789.964          0.00000         0.144842E-04     0.226224E-05     0.573220E-05
