 Total (p,pp) knockout cross section (mb)                                       
  
     11.544
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.928760E-05     0.169539E-06     0.238694E-05
  -983.357          0.00000         0.937429E-05     0.310179E-06     0.238910E-05
  -980.079          0.00000         0.945897E-05     0.397022E-06     0.238899E-05
  -976.801          0.00000         0.954142E-05     0.471170E-06     0.238655E-05
  -973.524          0.00000         0.962139E-05     0.539215E-06     0.238172E-05
  -970.246          0.00000         0.969867E-05     0.607956E-06     0.237447E-05
  -966.968          0.00000         0.977300E-05     0.670437E-06     0.236475E-05
  -963.690          0.00000         0.984417E-05     0.719646E-06     0.235254E-05
  -960.412          0.00000         0.991193E-05     0.776153E-06     0.233783E-05
  -957.134          0.00000         0.997605E-05     0.825915E-06     0.232063E-05
  -953.856          0.00000         0.100363E-04     0.869274E-06     0.230097E-05
  -950.579          0.00000         0.100925E-04     0.919832E-06     0.227888E-05
  -947.301          0.00000         0.101443E-04     0.956816E-06     0.225442E-05
  -944.023          0.00000         0.101917E-04     0.100768E-05     0.222767E-05
  -940.745          0.00000         0.102343E-04     0.105173E-05     0.219873E-05
  -937.467          0.00000         0.102720E-04     0.108877E-05     0.216773E-05
  -934.189          0.00000         0.103045E-04     0.113304E-05     0.213481E-05
  -930.911          0.00000         0.103319E-04     0.117020E-05     0.210015E-05
  -927.634          0.00000         0.103538E-04     0.120035E-05     0.206395E-05
  -924.356          0.00000         0.103701E-04     0.124407E-05     0.202644E-05
  -921.078          0.00000         0.103807E-04     0.128117E-05     0.198788E-05
  -917.800          0.00000         0.103856E-04     0.131108E-05     0.194857E-05
  -914.522          0.00000         0.103847E-04     0.135454E-05     0.190884E-05
  -911.244          0.00000         0.103778E-04     0.138396E-05     0.186907E-05
  -907.966          0.00000         0.103650E-04     0.141980E-05     0.182965E-05
  -904.689          0.00000         0.103464E-04     0.144858E-05     0.179105E-05
  -901.411          0.00000         0.103219E-04     0.147703E-05     0.175377E-05
  -898.133          0.00000         0.102917E-04     0.150500E-05     0.171835E-05
  -894.855          0.00000         0.102559E-04     0.153281E-05     0.168539E-05
  -891.577          0.00000         0.102147E-04     0.157382E-05     0.165555E-05
  -888.299          0.00000         0.101683E-04     0.160047E-05     0.162953E-05
  -885.021          0.00000         0.101169E-04     0.162686E-05     0.160810E-05
  -881.744          0.00000         0.100610E-04     0.165280E-05     0.159210E-05
  -878.466          0.00000         0.100010E-04     0.167835E-05     0.158243E-05
  -875.188          0.00000         0.993734E-05     0.170320E-05     0.158005E-05
  -871.910          0.00000         0.987053E-05     0.171404E-05     0.158601E-05
  -868.632          0.00000         0.980125E-05     0.173813E-05     0.160141E-05
  -865.354          0.00000         0.973021E-05     0.176187E-05     0.162745E-05
  -862.076          0.00000         0.965821E-05     0.178532E-05     0.166541E-05
  -858.799          0.00000         0.958615E-05     0.180843E-05     0.171663E-05
  -855.521          0.00000         0.951504E-05     0.182406E-05     0.178255E-05
  -852.243          0.00000         0.944599E-05     0.184680E-05     0.186469E-05
  -848.965          0.00000         0.938021E-05     0.186923E-05     0.196468E-05
  -845.687          0.00000         0.931905E-05     0.189147E-05     0.208420E-05
  -842.409          0.00000         0.926397E-05     0.189925E-05     0.222505E-05
