 Total (p,pp) knockout cross section (mb)                                       
  
      9.684
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.276313E-05     0.498087E-07     0.105755E-06
  -983.357          0.00000         0.279562E-05     0.912483E-07     0.108108E-06
  -980.079          0.00000         0.282853E-05     0.116991E-06     0.110411E-06
  -976.801          0.00000         0.286187E-05     0.139109E-06     0.112651E-06
  -973.524          0.00000         0.289561E-05     0.159531E-06     0.114814E-06
  -970.246          0.00000         0.292975E-05     0.180262E-06     0.116887E-06
  -966.968          0.00000         0.296427E-05     0.199267E-06     0.118853E-06
  -963.690          0.00000         0.299916E-05     0.214494E-06     0.120696E-06
  -960.412          0.00000         0.303439E-05     0.231986E-06     0.122402E-06
  -957.134          0.00000         0.306995E-05     0.247606E-06     0.123953E-06
  -953.856          0.00000         0.310581E-05     0.261503E-06     0.125333E-06
  -950.579          0.00000         0.314195E-05     0.277664E-06     0.126525E-06
  -947.301          0.00000         0.317833E-05     0.289997E-06     0.127514E-06
  -944.023          0.00000         0.321494E-05     0.306551E-06     0.128283E-06
  -940.745          0.00000         0.325174E-05     0.321250E-06     0.128816E-06
  -937.467          0.00000         0.328870E-05     0.334055E-06     0.129098E-06
  -934.189          0.00000         0.332578E-05     0.349228E-06     0.129116E-06
  -930.911          0.00000         0.336296E-05     0.362476E-06     0.128856E-06
  -927.634          0.00000         0.340019E-05     0.373842E-06     0.128306E-06
  -924.356          0.00000         0.343745E-05     0.389375E-06     0.127454E-06
  -921.078          0.00000         0.347469E-05     0.403262E-06     0.126292E-06
  -917.800          0.00000         0.351187E-05     0.415243E-06     0.124810E-06
  -914.522          0.00000         0.354896E-05     0.431409E-06     0.123004E-06
  -911.244          0.00000         0.358592E-05     0.443715E-06     0.120867E-06
  -907.966          0.00000         0.362271E-05     0.458090E-06     0.118397E-06
  -904.689          0.00000         0.365929E-05     0.470682E-06     0.115593E-06
  -901.411          0.00000         0.369563E-05     0.483321E-06     0.112457E-06
  -898.133          0.00000         0.373168E-05     0.496112E-06     0.108992E-06
  -894.855          0.00000         0.376741E-05     0.509137E-06     0.105202E-06
  -891.577          0.00000         0.380278E-05     0.526192E-06     0.101098E-06
  -888.299          0.00000         0.383776E-05     0.539346E-06     0.966886E-07
  -885.021          0.00000         0.387231E-05     0.552767E-06     0.919889E-07
  -881.744          0.00000         0.390641E-05     0.566164E-06     0.870156E-07
  -878.466          0.00000         0.394001E-05     0.579794E-06     0.817891E-07
  -875.188          0.00000         0.397310E-05     0.593316E-06     0.763335E-07
  -871.910          0.00000         0.400564E-05     0.603171E-06     0.706771E-07
  -868.632          0.00000         0.403762E-05     0.616938E-06     0.648526E-07
  -865.354          0.00000         0.406900E-05     0.630903E-06     0.588981E-07
  -862.076          0.00000         0.409978E-05     0.645107E-06     0.528569E-07
  -858.799          0.00000         0.412994E-05     0.659077E-06     0.467789E-07
  -855.521          0.00000         0.415948E-05     0.671289E-06     0.407207E-07
  -852.243          0.00000         0.418837E-05     0.685506E-06     0.347469E-07
  -848.965          0.00000         0.421664E-05     0.699810E-06     0.289304E-07
  -845.687          0.00000         0.424428E-05     0.714262E-06     0.233539E-07
  -842.409          0.00000         0.427132E-05     0.724390E-06     0.181106E-07
  -839.131          0.00000         0.429776E-05     0.739126E-06     0.133051E-07
  -835.854          0.00000         0.432365E-05     0.751596E-06     0.905483E-08
  -832.576          0.00000         0.434903E-05     0.766262E-06     0.549100E-08
  -829.298          0.00000         0.437394E-05     0.776788E-06     0.275982E-08
  -826.020          0.00000         0.439847E-05     0.791534E-06     0.102368E-08
  -822.742          0.00000         0.442267E-05     0.806353E-06     0.462374E-09
  -819.464          0.00000         0.444665E-05     0.818793E-06     0.127426E-08
