 Total (p,pp) knockout cross section (mb)                                       
  
     30.458
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.695120E-05     0.124324E-06     0.797319E-07
  -983.357          0.00000         0.700677E-05     0.227289E-06     0.775513E-07
  -980.079          0.00000         0.706164E-05     0.290694E-06     0.751951E-07
  -976.801          0.00000         0.711579E-05     0.344721E-06     0.726909E-07
  -973.524          0.00000         0.716921E-05     0.394243E-06     0.700728E-07
  -970.246          0.00000         0.722189E-05     0.444265E-06     0.673819E-07
  -966.968          0.00000         0.727385E-05     0.489702E-06     0.646677E-07
  -963.690          0.00000         0.732510E-05     0.525432E-06     0.619876E-07
  -960.412          0.00000         0.737566E-05     0.566570E-06     0.594086E-07
  -957.134          0.00000         0.742558E-05     0.602853E-06     0.570073E-07
  -953.856          0.00000         0.747491E-05     0.634515E-06     0.548707E-07
  -950.579          0.00000         0.752371E-05     0.671569E-06     0.530971E-07
  -947.301          0.00000         0.757208E-05     0.698806E-06     0.517967E-07
  -944.023          0.00000         0.762011E-05     0.736387E-06     0.510922E-07
  -940.745          0.00000         0.766793E-05     0.769146E-06     0.511196E-07
  -937.467          0.00000         0.771568E-05     0.797000E-06     0.520293E-07
  -934.189          0.00000         0.776351E-05     0.830406E-06     0.539865E-07
  -930.911          0.00000         0.781162E-05     0.858885E-06     0.571724E-07
  -927.634          0.00000         0.786021E-05     0.882525E-06     0.617851E-07
  -924.356          0.00000         0.790953E-05     0.916467E-06     0.680404E-07
  -921.078          0.00000         0.795983E-05     0.945939E-06     0.761732E-07
  -917.800          0.00000         0.801140E-05     0.970572E-06     0.864384E-07
  -914.522          0.00000         0.806458E-05     0.100559E-05     0.991121E-07
  -911.244          0.00000         0.811971E-05     0.103086E-05     0.114493E-06
  -907.966          0.00000         0.817720E-05     0.106138E-05     0.132905E-06
  -904.689          0.00000         0.823745E-05     0.108736E-05     0.154695E-06
  -901.411          0.00000         0.830095E-05     0.111362E-05     0.180240E-06
  -898.133          0.00000         0.836820E-05     0.114029E-05     0.209944E-06
  -894.855          0.00000         0.843974E-05     0.116760E-05     0.244242E-06
  -891.577          0.00000         0.851617E-05     0.120533E-05     0.283602E-06
  -888.299          0.00000         0.859812E-05     0.123355E-05     0.328527E-06
  -885.021          0.00000         0.868628E-05     0.126259E-05     0.379557E-06
  -881.744          0.00000         0.878140E-05     0.129211E-05     0.437269E-06
  -878.466          0.00000         0.888425E-05     0.132255E-05     0.502284E-06
  -875.188          0.00000         0.899569E-05     0.135350E-05     0.575266E-06
  -871.910          0.00000         0.911661E-05     0.137564E-05     0.656926E-06
  -868.632          0.00000         0.924799E-05     0.140856E-05     0.748024E-06
  -865.354          0.00000         0.939084E-05     0.144263E-05     0.849373E-06
  -862.076          0.00000         0.954625E-05     0.147817E-05     0.961840E-06
  -858.799          0.00000         0.971538E-05     0.151434E-05     0.108635E-05
  -855.521          0.00000         0.989946E-05     0.154730E-05     0.122390E-05
  -852.243          0.00000         0.100998E-04     0.158641E-05     0.137553E-05
  -848.965          0.00000         0.103177E-04     0.162741E-05     0.154238E-05
  -845.687          0.00000         0.105547E-04     0.167037E-05     0.172564E-05
  -842.409          0.00000         0.108122E-04     0.170442E-05     0.192658E-05
  -839.131          0.00000         0.110919E-04     0.175175E-05     0.214657E-05
  -835.854          0.00000         0.113955E-04     0.179511E-05     0.238706E-05
  -832.576          0.00000         0.117247E-04     0.184684E-05     0.264958E-05
  -829.298          0.00000         0.120813E-04     0.189033E-05     0.293578E-05
  -826.020          0.00000         0.124674E-04     0.194714E-05     0.324740E-05
  -822.742          0.00000         0.128850E-04     0.200740E-05     0.358631E-05
  -819.464          0.00000         0.133361E-04     0.206508E-05     0.395449E-05
  -816.186          0.00000         0.138231E-04     0.213270E-05     0.435404E-05
  -812.909          0.00000         0.143481E-04     0.219372E-05     0.478721E-05
  -809.631          0.00000         0.149137E-04     0.226429E-05     0.525640E-05
  -806.353          0.00000         0.155224E-04     0.234410E-05     0.576415E-05
  -803.075          0.00000         0.161767E-04     0.241824E-05     0.631318E-05
  -799.797          0.00000         0.168795E-04     0.250840E-05     0.690638E-05
  -796.519          0.00000         0.176334E-04     0.259643E-05     0.754681E-05
  -793.241          0.00000         0.184416E-04     0.268615E-05     0.823775E-05
  -789.964          0.00000         0.193070E-04     0.279346E-05     0.898269E-05
  -786.686          0.00000         0.202329E-04     0.290336E-05     0.978532E-05
  -783.408          0.00000         0.212225E-04     0.301509E-05     0.106496E-04
  -780.130          0.00000         0.222792E-04     0.314243E-05     0.115796E-04
