 Total (p,pp) knockout cross section (mb)                                       
  
     32.208
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.662115E-05     0.118567E-06     0.807119E-07
  -983.357          0.00000         0.667697E-05     0.216816E-06     0.792200E-07
  -980.079          0.00000         0.673217E-05     0.277377E-06     0.775422E-07
  -976.801          0.00000         0.678672E-05     0.329025E-06     0.756953E-07
  -973.524          0.00000         0.684059E-05     0.376400E-06     0.737013E-07
  -970.246          0.00000         0.689375E-05     0.424273E-06     0.715880E-07
  -966.968          0.00000         0.694618E-05     0.467793E-06     0.693891E-07
  -963.690          0.00000         0.699788E-05     0.502072E-06     0.671453E-07
  -960.412          0.00000         0.704885E-05     0.541522E-06     0.649045E-07
  -957.134          0.00000         0.709910E-05     0.576346E-06     0.627223E-07
  -953.856          0.00000         0.714866E-05     0.606778E-06     0.606629E-07
  -950.579          0.00000         0.719754E-05     0.642360E-06     0.587993E-07
  -947.301          0.00000         0.724580E-05     0.668585E-06     0.572145E-07
  -944.023          0.00000         0.729351E-05     0.704672E-06     0.560012E-07
  -940.745          0.00000         0.734074E-05     0.736157E-06     0.552637E-07
  -937.467          0.00000         0.738758E-05     0.762954E-06     0.551174E-07
  -934.189          0.00000         0.743414E-05     0.795047E-06     0.556906E-07
  -930.911          0.00000         0.748056E-05     0.822421E-06     0.571248E-07
  -927.634          0.00000         0.752699E-05     0.845163E-06     0.595758E-07
  -924.356          0.00000         0.757361E-05     0.877703E-06     0.632145E-07
  -921.078          0.00000         0.762061E-05     0.905970E-06     0.682282E-07
  -917.800          0.00000         0.766821E-05     0.929586E-06     0.748219E-07
  -914.522          0.00000         0.771668E-05     0.963070E-06     0.832189E-07
  -911.244          0.00000         0.776628E-05     0.987215E-06     0.936629E-07
  -907.966          0.00000         0.781732E-05     0.101631E-05     0.106419E-06
  -904.689          0.00000         0.787016E-05     0.104102E-05     0.121776E-06
  -901.411          0.00000         0.792516E-05     0.106595E-05     0.140046E-06
  -898.133          0.00000         0.798274E-05     0.109119E-05     0.161569E-06
  -894.855          0.00000         0.804334E-05     0.111698E-05     0.186712E-06
  -891.577          0.00000         0.810746E-05     0.115261E-05     0.215875E-06
  -888.299          0.00000         0.817562E-05     0.117907E-05     0.249486E-06
  -885.021          0.00000         0.824840E-05     0.120621E-05     0.288010E-06
  -881.744          0.00000         0.832642E-05     0.123371E-05     0.331949E-06
  -878.466          0.00000         0.841035E-05     0.126195E-05     0.381841E-06
  -875.188          0.00000         0.850090E-05     0.129055E-05     0.438268E-06
  -871.910          0.00000         0.859886E-05     0.131060E-05     0.501852E-06
  -868.632          0.00000         0.870505E-05     0.134077E-05     0.573262E-06
  -865.354          0.00000         0.882036E-05     0.137189E-05     0.653216E-06
  -862.076          0.00000         0.894573E-05     0.140421E-05     0.742480E-06
  -858.799          0.00000         0.908217E-05     0.143698E-05     0.841875E-06
  -855.521          0.00000         0.923076E-05     0.146643E-05     0.952276E-06
  -852.243          0.00000         0.939264E-05     0.150161E-05     0.107462E-05
  -848.965          0.00000         0.956901E-05     0.153831E-05     0.120989E-05
  -845.687          0.00000         0.976118E-05     0.157662E-05     0.135916E-05
  -842.409          0.00000         0.997048E-05     0.160618E-05     0.152355E-05
  -839.131          0.00000         0.101984E-04     0.164810E-05     0.170425E-05
  -835.854          0.00000         0.104463E-04     0.168608E-05     0.190255E-05
  -832.576          0.00000         0.107160E-04     0.173161E-05     0.211979E-05
  -829.298          0.00000         0.110090E-04     0.176908E-05     0.235740E-05
  -826.020          0.00000         0.113271E-04     0.181886E-05     0.261692E-05
  -822.742          0.00000         0.116722E-04     0.187151E-05     0.289996E-05
  -819.464          0.00000         0.120462E-04     0.192137E-05     0.320824E-05
  -816.186          0.00000         0.124511E-04     0.198027E-05     0.354360E-05
  -812.909          0.00000         0.128891E-04     0.203249E-05     0.390798E-05
