 Total (p,pp) knockout cross section (mb)                                       
  
     11.164
  
 Momentum distributions
    Q_i             dS/dQ_z          dS/dQ_t          dS/dQ_y          dS/dQ
  (MeV/C)          (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)       (mb/MeV/c)
  -986.635          0.00000         0.953500E-05     0.173756E-06     0.244636E-05
  -983.357          0.00000         0.962020E-05     0.317826E-06     0.244619E-05
  -980.079          0.00000         0.970317E-05     0.406704E-06     0.244369E-05
  -976.801          0.00000         0.978366E-05     0.482526E-06     0.243880E-05
  -973.524          0.00000         0.986144E-05     0.552056E-06     0.243147E-05
  -970.246          0.00000         0.993626E-05     0.622264E-06     0.242166E-05
  -966.968          0.00000         0.100079E-04     0.686019E-06     0.240935E-05
  -963.690          0.00000         0.100761E-04     0.736135E-06     0.239453E-05
  -960.412          0.00000         0.101406E-04     0.793700E-06     0.237719E-05
  -957.134          0.00000         0.102013E-04     0.844330E-06     0.235735E-05
  -953.856          0.00000         0.102578E-04     0.888354E-06     0.233507E-05
  -950.579          0.00000         0.103099E-04     0.939722E-06     0.231039E-05
  -947.301          0.00000         0.103575E-04     0.977145E-06     0.228340E-05
  -944.023          0.00000         0.104003E-04     0.102877E-05     0.225419E-05
  -940.745          0.00000         0.104381E-04     0.107338E-05     0.222291E-05
  -937.467          0.00000         0.104707E-04     0.111078E-05     0.218969E-05
  -934.189          0.00000         0.104980E-04     0.115555E-05     0.215472E-05
  -930.911          0.00000         0.105198E-04     0.119299E-05     0.211821E-05
  -927.634          0.00000         0.105360E-04     0.122324E-05     0.208041E-05
  -924.356          0.00000         0.105464E-04     0.126738E-05     0.204158E-05
  -921.078          0.00000         0.105510E-04     0.130467E-05     0.200205E-05
  -917.800          0.00000         0.105497E-04     0.133458E-05     0.196214E-05
  -914.522          0.00000         0.105425E-04     0.137836E-05     0.192227E-05
  -911.244          0.00000         0.105293E-04     0.140771E-05     0.188284E-05
  -907.966          0.00000         0.105102E-04     0.144365E-05     0.184435E-05
  -904.689          0.00000         0.104852E-04     0.147231E-05     0.180730E-05
  -901.411          0.00000         0.104545E-04     0.150066E-05     0.177227E-05
  -898.133          0.00000         0.104183E-04     0.152849E-05     0.173987E-05
  -894.855          0.00000         0.103766E-04     0.155614E-05     0.171080E-05
  -891.577          0.00000         0.103298E-04     0.159734E-05     0.168577E-05
  -888.299          0.00000         0.102782E-04     0.162383E-05     0.166558E-05
  -885.021          0.00000         0.102221E-04     0.165003E-05     0.165110E-05
  -881.744          0.00000         0.101620E-04     0.167582E-05     0.164323E-05
  -878.466          0.00000         0.100984E-04     0.170121E-05     0.164298E-05
  -875.188          0.00000         0.100319E-04     0.172596E-05     0.165140E-05
  -871.910          0.00000         0.996304E-05     0.173634E-05     0.166963E-05
  -868.632          0.00000         0.989270E-05     0.176039E-05     0.169887E-05
  -865.354          0.00000         0.982168E-05     0.178413E-05     0.174043E-05
  -862.076          0.00000         0.975089E-05     0.180761E-05     0.179567E-05
  -858.799          0.00000         0.968139E-05     0.183086E-05     0.186604E-05
  -855.521          0.00000         0.961430E-05     0.184654E-05     0.195308E-05
  -852.243          0.00000         0.955087E-05     0.186959E-05     0.205842E-05
  -848.965          0.00000         0.949248E-05     0.189245E-05     0.218378E-05
  -845.687          0.00000         0.944061E-05     0.191524E-05     0.233096E-05
  -842.409          0.00000         0.939689E-05     0.192339E-05     0.250184E-05
  -839.131          0.00000         0.936307E-05     0.194667E-05     0.269843E-05
  -835.854          0.00000         0.934104E-05     0.196348E-05     0.292281E-05
  -832.576          0.00000         0.933283E-05     0.198757E-05     0.317714E-05
  -829.298          0.00000         0.934063E-05     0.199859E-05     0.346370E-05
  -826.020          0.00000         0.936679E-05     0.202438E-05     0.378485E-05
  -822.742          0.00000         0.941379E-05     0.205122E-05     0.414304E-05
  -819.464          0.00000         0.948430E-05     0.207186E-05     0.454084E-05
  -816.186          0.00000         0.958114E-05     0.210190E-05     0.498088E-05
  -812.909          0.00000         0.970731E-05     0.211959E-05     0.546590E-05
  -809.631          0.00000         0.986599E-05     0.214652E-05     0.599873E-05
  -806.353          0.00000         0.100605E-04     0.218270E-05     0.658230E-05
  -803.075          0.00000         0.102945E-04     0.220790E-05     0.721962E-05
  -799.797          0.00000         0.105715E-04     0.225007E-05     0.791378E-05
  -796.519          0.00000         0.108955E-04     0.228878E-05     0.866797E-05
  -793.241          0.00000         0.112707E-04     0.232461E-05     0.948546E-05
  -789.964          0.00000         0.117012E-04     0.237884E-05     0.103696E-04
  -786.686          0.00000         0.121915E-04     0.243141E-05     0.113238E-04
  -783.408          0.00000         0.127464E-04     0.248256E-05     0.123517E-04
  -780.130          0.00000         0.133706E-04     0.255324E-05     0.134566E-04
  -776.852          0.00000         0.140692E-04     0.262317E-05     0.146424E-04
  -773.574          0.00000         0.148474E-04     0.269322E-05     0.159127E-04
  -770.296          0.00000         0.157107E-04     0.277975E-05     0.172712E-04
  -767.019          0.00000         0.166645E-04     0.288129E-05     0.187218E-04
  -763.741          0.00000         0.177148E-04     0.297777E-05     0.202683E-04
  -760.463          0.00000         0.188674E-04     0.309031E-05     0.219146E-04
  -757.185          0.00000         0.201285E-04     0.320859E-05     0.236644E-04
  -753.907          0.00000         0.215043E-04     0.334458E-05     0.255218E-04
  -750.629          0.00000         0.230012E-04     0.349786E-05     0.274906E-04
  -747.351          0.00000         0.246259E-04     0.365305E-05     0.295745E-04
  -744.074          0.00000         0.263850E-04     0.383205E-05     0.317775E-04
  -740.796          0.00000         0.282852E-04     0.401560E-05     0.341033E-04
  -737.518          0.00000         0.303336E-04     0.422597E-05     0.365556E-04
  -734.240          0.00000         0.325371E-04     0.443370E-05     0.391378E-04
  -730.962          0.00000         0.349029E-04     0.468099E-05     0.418536E-04
  -727.684          0.00000         0.374379E-04     0.495369E-05     0.447062E-04
  -724.406          0.00000         0.401494E-04     0.522750E-05     0.476988E-04
  -721.129          0.00000         0.430446E-04     0.553663E-05     0.508343E-04
  -717.851          0.00000         0.461306E-04     0.585940E-05     0.541156E-04
  -714.573          0.00000         0.494145E-04     0.621637E-05     0.575452E-04
  -711.295          0.00000         0.529034E-04     0.659484E-05     0.611255E-04
  -708.017          0.00000         0.566043E-04     0.700776E-05     0.648585E-04
  -704.739          0.00000         0.605239E-04     0.743828E-05     0.687460E-04
  -701.461          0.00000         0.646690E-04     0.790624E-05     0.727894E-04
  -698.184          0.00000         0.690461E-04     0.840336E-05     0.769900E-04
  -694.906          0.00000         0.736615E-04     0.892146E-05     0.813487E-04
  -691.628          0.00000         0.785213E-04     0.949593E-05     0.858659E-04
  -688.350          0.00000         0.836312E-04     0.101049E-04     0.905418E-04
  -685.072          0.00000         0.889968E-04     0.107437E-04     0.953765E-04
  -681.794          0.00000         0.946232E-04     0.114374E-04     0.100369E-03
  -678.516          0.00000         0.100515E-03     0.121368E-04     0.105520E-03
  -675.239          0.00000         0.106677E-03     0.129041E-04     0.110827E-03
  -671.961          0.00000         0.113113E-03     0.136985E-04     0.116289E-03
  -668.683          0.00000         0.119826E-03     0.145461E-04     0.121905E-03
  -665.405          0.00000         0.126820E-03     0.154308E-04     0.127673E-03
  -662.127          0.00000         0.134096E-03     0.163676E-04     0.133592E-03
  -658.849          0.00000         0.141658E-03     0.173693E-04     0.139660E-03
  -655.571          0.00000         0.149506E-03     0.184222E-04     0.145874E-03
  -652.294          0.00000         0.157641E-03     0.195540E-04     0.152233E-03
  -649.016          0.00000         0.166064E-03     0.207112E-04     0.158736E-03
  -645.738          0.00000         0.174774E-03     0.219146E-04     0.165381E-03
  -642.460          0.00000         0.183770E-03     0.231929E-04     0.172169E-03
  -639.182          0.00000         0.193052E-03     0.244874E-04     0.179097E-03
  -635.904          0.00000         0.202617E-03     0.258988E-04     0.186168E-03
  -632.626          0.00000         0.212463E-03     0.273306E-04     0.193383E-03
  -629.349          0.00000         0.222587E-03     0.288773E-04     0.200743E-03
  -626.071          0.00000         0.232986E-03     0.304316E-04     0.208254E-03
  -622.793          0.00000         0.243655E-03     0.320297E-04     0.215919E-03
  -619.515          0.00000         0.254592E-03     0.336931E-04     0.223747E-03
  -616.237          0.00000         0.265790E-03     0.354843E-04     0.231745E-03
  -612.959          0.00000         0.277247E-03     0.373684E-04     0.239926E-03
  -609.681         0.321389E-03     0.288957E-03     0.392778E-04     0.248302E-03
  -606.404         0.325844E-03     0.300916E-03     0.412816E-04     0.256891E-03
  -603.126         0.328106E-03     0.313120E-03     0.433252E-04     0.265711E-03
  -599.848         0.332703E-03     0.325565E-03     0.453693E-04     0.274787E-03
  -596.570         0.337399E-03     0.338247E-03     0.476049E-04     0.284144E-03
  -593.292         0.339785E-03     0.351164E-03     0.498782E-04     0.293814E-03
  -590.014         0.344634E-03     0.364314E-03     0.522429E-04     0.303833E-03
  -586.736         0.347099E-03     0.377697E-03     0.546767E-04     0.314240E-03
  -583.459         0.352109E-03     0.391312E-03     0.571413E-04     0.325082E-03
  -580.181         0.357229E-03     0.405165E-03     0.597456E-04     0.336411E-03
  -576.903         0.359832E-03     0.419257E-03     0.623580E-04     0.348282E-03
  -573.625         0.365126E-03     0.433598E-03     0.650265E-04     0.360762E-03
  -570.347         0.367817E-03     0.448196E-03     0.678843E-04     0.373920E-03
  -567.069         0.373291E-03     0.463064E-03     0.707349E-04     0.387833E-03
  -563.791         0.378890E-03     0.478218E-03     0.736996E-04     0.402588E-03
  -560.514         0.381737E-03     0.493679E-03     0.767614E-04     0.418278E-03
  -557.236         0.387531E-03     0.509471E-03     0.800074E-04     0.435004E-03
  -553.958         0.393459E-03     0.525623E-03     0.832894E-04     0.452874E-03
  -550.680         0.396475E-03     0.542169E-03     0.865632E-04     0.472008E-03
  -547.402         0.402613E-03     0.559149E-03     0.900360E-04     0.492532E-03
  -544.124         0.405736E-03     0.576610E-03     0.935200E-04     0.514582E-03
  -540.846         0.412094E-03     0.594604E-03     0.972316E-04     0.538301E-03
  -537.569         0.418604E-03     0.613191E-03     0.101011E-03     0.563843E-03
  -534.291         0.421918E-03     0.632439E-03     0.104985E-03     0.591370E-03
  -531.013         0.428665E-03     0.652424E-03     0.109045E-03     0.621052E-03
  -527.735         0.432100E-03     0.673229E-03     0.113216E-03     0.653069E-03
  -524.457         0.439096E-03     0.694948E-03     0.117383E-03     0.687606E-03
  -521.179         0.446264E-03     0.717683E-03     0.121918E-03     0.724860E-03
  -517.901         0.449914E-03     0.741549E-03     0.126667E-03     0.765031E-03
  -514.624         0.457351E-03     0.766667E-03     0.131499E-03     0.808330E-03
  -511.346         0.464974E-03     0.793172E-03     0.136572E-03     0.854970E-03
  -508.068         0.468857E-03     0.821208E-03     0.141903E-03     0.905173E-03
  -504.790         0.476770E-03     0.850932E-03     0.147355E-03     0.959165E-03
  -501.512         0.480801E-03     0.882512E-03     0.153017E-03     0.101717E-02
  -498.234         0.489019E-03     0.916127E-03     0.159181E-03     0.107944E-02
  -494.956         0.497448E-03     0.951970E-03     0.165733E-03     0.114618E-02
  -491.679         0.501744E-03     0.990244E-03     0.172449E-03     0.121766E-02
  -488.401         0.510503E-03     0.103117E-02     0.179463E-03     0.129409E-02
  -485.123         0.514968E-03     0.107496E-02     0.186977E-03     0.137572E-02
  -481.845         0.524074E-03     0.112188E-02     0.194951E-03     0.146280E-02
  -478.567         0.533420E-03     0.117216E-02     0.203321E-03     0.155554E-02
  -475.289         0.538187E-03     0.122608E-02     0.212135E-03     0.165419E-02
  -472.011         0.547911E-03     0.128391E-02     0.221400E-03     0.175897E-02
  -468.734         0.557898E-03     0.134593E-02     0.231330E-03     0.187010E-02
  -465.456         0.562993E-03     0.141245E-02     0.241740E-03     0.198782E-02
  -462.178         0.573391E-03     0.148378E-02     0.253066E-03     0.211232E-02
  -458.900         0.578698E-03     0.156023E-02     0.265199E-03     0.224382E-02
  -455.622         0.589532E-03     0.164214E-02     0.278242E-03     0.238253E-02
  -452.344         0.600671E-03     0.172983E-02     0.291705E-03     0.252862E-02
  -449.066         0.606358E-03     0.182367E-02     0.306310E-03     0.268231E-02
  -445.789         0.617976E-03     0.192400E-02     0.322201E-03     0.284376E-02
  -442.511         0.623911E-03     0.203118E-02     0.338717E-03     0.301315E-02
  -439.233         0.636039E-03     0.214558E-02     0.356760E-03     0.319067E-02
  -435.955         0.648525E-03     0.226758E-02     0.375541E-03     0.337646E-02
  -432.677         0.654908E-03     0.239755E-02     0.395295E-03     0.357070E-02
  -429.399         0.667963E-03     0.253587E-02     0.416580E-03     0.377355E-02
  -426.121         0.681419E-03     0.268295E-02     0.439545E-03     0.398515E-02
  -422.844         0.688304E-03     0.283915E-02     0.464781E-03     0.420568E-02
  -419.566         0.702399E-03     0.300488E-02     0.490933E-03     0.443529E-02
  -416.288         0.709615E-03     0.318053E-02     0.519262E-03     0.467414E-02
  -413.010         0.724401E-03     0.336650E-02     0.547920E-03     0.492240E-02
  -409.732         0.739677E-03     0.356318E-02     0.579451E-03     0.518024E-02
  -406.454         0.747507E-03     0.377097E-02     0.613810E-03     0.544785E-02
  -403.176         0.763572E-03     0.399027E-02     0.648454E-03     0.572541E-02
  -399.899         0.771815E-03     0.422148E-02     0.687647E-03     0.601314E-02
  -396.621         0.788740E-03     0.446501E-02     0.728120E-03     0.631124E-02
  -393.343         0.806283E-03     0.472125E-02     0.771347E-03     0.661997E-02
  -390.065         0.815298E-03     0.499062E-02     0.815645E-03     0.693956E-02
  -386.787         0.833843E-03     0.527351E-02     0.864385E-03     0.727029E-02
  -383.509         0.853110E-03     0.557035E-02     0.916541E-03     0.761245E-02
  -380.231         0.863031E-03     0.588155E-02     0.970364E-03     0.796636E-02
  -376.954         0.883478E-03     0.620753E-02     0.102707E-02     0.833233E-02
  -373.676         0.894018E-03     0.654873E-02     0.108936E-02     0.871071E-02
  -370.398         0.915771E-03     0.690559E-02     0.115175E-02     0.910187E-02
  -367.120         0.938473E-03     0.727856E-02     0.122048E-02     0.950619E-02
  -363.842         0.950203E-03     0.766811E-02     0.129172E-02     0.992403E-02
  -360.564         0.974464E-03     0.807472E-02     0.136764E-02     0.103558E-01
  -357.286         0.987017E-03     0.849888E-02     0.144693E-02     0.108019E-01
  -354.009         0.101302E-02     0.894112E-02     0.152864E-02     0.112626E-01
  -350.731         0.104029E-02     0.940197E-02     0.161646E-02     0.117384E-01
  -347.453         0.105444E-02     0.988199E-02     0.171144E-02     0.122296E-01
  -344.175         0.108381E-02     0.103817E-01     0.181190E-02     0.127364E-01
  -340.897         0.111472E-02     0.109018E-01     0.191252E-02     0.132590E-01
  -337.619         0.113079E-02     0.114429E-01     0.202473E-02     0.137976E-01
  -334.341         0.116423E-02     0.120056E-01     0.213589E-02     0.143523E-01
  -331.064         0.118165E-02     0.125905E-01     0.225409E-02     0.149230E-01
  -327.786         0.121795E-02     0.131983E-01     0.238088E-02     0.155095E-01
  -324.508         0.125634E-02     0.138298E-01     0.251234E-02     0.161114E-01
  -321.230         0.127637E-02     0.144855E-01     0.265494E-02     0.167283E-01
  -317.952         0.131822E-02     0.151661E-01     0.279662E-02     0.173593E-01
  -314.674         0.134009E-02     0.158723E-01     0.295073E-02     0.180035E-01
  -311.396         0.138583E-02     0.166047E-01     0.310970E-02     0.186597E-01
  -308.119         0.143442E-02     0.173639E-01     0.327462E-02     0.193263E-01
  -304.841         0.145986E-02     0.181503E-01     0.344797E-02     0.200015E-01
  -301.563         0.151316E-02     0.189644E-01     0.363415E-02     0.206831E-01
  -298.285         0.156993E-02     0.198065E-01     0.383136E-02     0.213685E-01
  -295.007         0.159969E-02     0.206767E-01     0.403336E-02     0.220548E-01
  -291.729         0.166216E-02     0.215751E-01     0.424623E-02     0.227386E-01
  -288.451         0.169495E-02     0.225015E-01     0.446946E-02     0.234161E-01
  -285.174         0.176382E-02     0.234553E-01     0.470258E-02     0.240830E-01
  -281.896         0.183737E-02     0.244361E-01     0.494305E-02     0.247348E-01
  -278.618         0.187602E-02     0.254426E-01     0.518930E-02     0.253663E-01
  -275.340         0.195728E-02     0.264738E-01     0.544684E-02     0.259719E-01
  -272.062         0.200001E-02     0.275277E-01     0.572661E-02     0.265456E-01
  -268.784         0.208989E-02     0.286023E-01     0.600908E-02     0.270811E-01
  -265.506         0.218607E-02     0.296949E-01     0.631637E-02     0.275717E-01
  -262.229         0.223667E-02     0.308025E-01     0.661397E-02     0.280104E-01
  -258.951         0.234320E-02     0.319213E-01     0.692986E-02     0.283898E-01
  -255.673         0.245727E-02     0.330471E-01     0.724309E-02     0.287026E-01
  -252.395         0.251730E-02     0.341751E-01     0.759572E-02     0.289414E-01
  -249.117         0.264375E-02     0.352998E-01     0.795234E-02     0.290987E-01
  -245.839         0.271032E-02     0.364149E-01     0.831245E-02     0.291671E-01
  -242.561         0.285053E-02     0.375138E-01     0.868658E-02     0.291399E-01
  -239.284         0.300075E-02     0.385890E-01     0.906967E-02     0.290103E-01
